Timestamp,Library,OptimizationMode,QueueType,Implementation,ContentionLevel,Producers,Consumers,BatchSize,TotalItems,DurationSec,OpsPerSec,GCBytes,GCEfficiency,ScalingFactor,LatMin,LatP25,LatP50,LatP90,LatP99,LatP999,LatMax
2025-11-28T15:44:58.339346-06:00,oconnore/queues,Multi-Threaded,MPSC,External-Queue,Medium,4,1,N/A,1000000,0.740,1351351.40,19882496,51.50,0.232,,,,,,,
2025-11-28T15:44:59.428940-06:00,Lock-Based,Multi-Threaded,SPMC,Mutex-Protected-List,Medium,1,4,N/A,1000000,1.090,917432.06,16212832,63.16,0.176,,,,,,,
2025-11-28T15:45:01.663643-06:00,oconnore/queues,Multi-Threaded,SPMC,External-Queue,Medium,1,4,N/A,1000000,2.220,450450.66,18978080,53.96,0.077,,,,,,,
2025-11-28T15:45:01.900123-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-SPSC,1P-1C,1,1,N/A,200000,0,0,0,0,0,239,1760,1844,2052,2208,2228,2230
2025-11-28T15:45:02.086638-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-Bounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,142,1507,1869,2070,2131,2135,2137
2025-11-28T15:45:02.251604-06:00,cl-freelock,Multi-Threaded,SPMC,Lock-Free-Bounded,Medium,1,4,N/A,200000,0,0,0,0,0,0,189,653,1110,1146,1156,1162
2025-11-28T15:45:03.004477-06:00,cl-freelock,Multi-Threaded,MPSC,Lock-Free-Bounded,Medium,4,1,N/A,800000,0,0,0,0,0,782,1577,1638,1710,1755,1894,1931
2025-11-28T15:45:03.665832-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Bounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,942,1359,1572,1613,1632,1679
2025-11-28T15:45:03.821199-06:00,cl-freelock,Multi-Threaded,SPSC,Lock-Free-Unbounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,93,14980,19872,36431,37964,38094,38108
2025-11-28T15:45:03.970715-06:00,cl-freelock,Multi-Threaded,SPMC,Lock-Free-Unbounded,Medium,1,4,N/A,200000,0,0,0,0,0,0,0,1,1,3,25,449
2025-11-28T15:45:04.702150-06:00,cl-freelock,Multi-Threaded,Balanced,Lock-Free-Unbounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,2,3,10,66,370,13828
2025-11-28T15:45:09.957896-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Unbounded,1P-1C,1,1,N/A,200000,0.040,5000000.00,9699472,21.11,1.000,,,,,,,
2025-11-28T15:45:10.029473-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Medium,2,2,N/A,200000,0.070,2857142.80,9755456,20.99,0.286,,,,,,,
2025-11-28T15:45:10.134608-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Medium,4,4,N/A,200000,0.100,2000000.00,9959664,20.56,0.100,,,,,,,
2025-11-28T15:45:10.271994-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,High,8,8,N/A,200000,0.140,1428571.40,10222496,20.03,0.036,,,,,,,
2025-11-28T15:45:10.440306-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Very-High,16,16,N/A,200000,0.170,1176470.60,11041760,18.55,0.015,,,,,,,
2025-11-28T15:45:10.621980-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Very-High,32,32,N/A,200000,0.180,1111111.10,12679968,16.15,0.007,,,,,,,
2025-11-28T15:45:12.401681-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Very-High,64,64,N/A,200000,1.790,111731.91,14771232,13.86,0.000,,,,,,,
2025-11-28T15:45:12.462005-06:00,cl-freelock,Single-Threaded,MPSC,Lock-Free-Unbounded,Medium,4,1,N/A,200000,0.050,3999920.00,9893760,20.70,0.320,,,,,,,
2025-11-28T15:45:12.522722-06:00,cl-freelock,Single-Threaded,SPMC,Lock-Free-Unbounded,Medium,1,4,N/A,200000,0.060,3333333.30,9795200,20.91,0.267,,,,,,,
2025-11-28T15:45:12.814912-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Bounded,1P-1C,1,1,N/A,1024000,0.280,3657156.00,98784,10614.84,1.000,,,,,,,
2025-11-28T15:45:13.148391-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Medium,2,2,N/A,1024000,0.340,3011764.80,131008,8003.91,0.412,,,,,,,
2025-11-28T15:45:13.530615-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Medium,4,4,N/A,1024000,0.380,2694729.80,262016,4001.95,0.184,,,,,,,
2025-11-28T15:45:14.080576-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,High,8,8,N/A,1024000,0.550,1861821.60,524032,2000.98,0.064,,,,,,,
2025-11-28T15:45:14.804030-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Very-High,16,16,N/A,1024000,0.720,1422224.30,1048064,1000.49,0.024,,,,,,,
2025-11-28T15:45:15.579638-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Very-High,32,32,N/A,1024000,0.780,1312818.90,2194352,477.85,0.011,,,,,,,
2025-11-28T15:45:16.362390-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Very-High,64,64,N/A,1024000,0.780,1312822.30,4338496,241.69,0.006,,,,,,,
2025-11-28T15:45:16.447434-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Batch,1P-1C,1,1,64,1024000,0.090,11377778.00,26012736,40.31,1.000,,,,,,,
2025-11-28T15:45:16.484935-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Medium,2,2,64,1024000,0.030,34132196.00,42393072,24.73,1.500,,,,,,,
2025-11-28T15:45:17.134788-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Medium,4,4,64,1024000,0.650,1575389.50,145173472,7.22,0.035,,,,,,,
2025-11-28T15:45:18.379790-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,High,8,8,64,1024000,1.250,819200.00,775621968,1.35,0.009,,,,,,,
2025-11-28T15:45:21.176946-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Very-High,16,16,64,1024000,2.800,365714.56,857135696,1.22,0.002,,,,,,,
2025-11-28T15:45:26.429322-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Very-High,32,32,64,1024000,5.250,195047.69,4825175808,0.22,0.001,,,,,,,
2025-11-28T15:45:33.287519-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Batch,Very-High,64,64,64,1024000,6.860,149271.19,5374132912,0.20,0.000,,,,,,,
2025-11-28T15:45:34.068780-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-SPSC,1P-1C,1,1,N/A,5000000,0.780,6410264.50,131072,39062.50,1.000,,,,,,,
2025-11-28T15:45:34.740535-06:00,Lock-Based,Single-Threaded,SPSC,Mutex-Protected-List,1P-1C,1,1,N/A,1000000,0.670,1492537.40,16146768,63.42,1.000,,,,,,,
2025-11-28T15:45:35.232630-06:00,oconnore/queues,Single-Threaded,SPSC,External-Queue,1P-1C,1,1,N/A,1000000,0.470,2127659.50,10209472,100.30,1.000,,,,,,,
